step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
31500	-109.809302468437167	-111.349155482936951	1.539853014499790	0.110601275797617	0.110601275797617	1.000000000000000	0.918743770651278	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	5	5	1	5	1	1	1	1	2	1	1	1	1	1	1	1	1
32000	-110.880499635256200	-112.274774940060681	1.394275304804482	0.035668434712494	0.035668434712494	1.000000000000000	0.904002358350250	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16099	0	1	1	1	1	5	6	11	4	5	1	1	1	1	1	1	1	1	1	1	1	1
32500	-109.012806816577836	-111.249978209454397	2.237171392876565	0.165153568306421	0.165153568306421	1.000000000000000	0.992758160506876	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16132	16139	16102	0	1	1	3	1	5	5	4	6	7	1	1	1	1	1	1	1	1	1	1	1	1
33000	-109.705212174026855	-110.846729759974835	1.141517585947974	0.201852851367344	0.201852851367344	1.000000000000000	0.878967372577423	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	1	5	11	1	9	1	1	1	1	1	1	1	1	1	1	1	1
33500	-111.604667083477125	-113.667107941804332	2.062440858327201	0.137292071569777	0.137292071569777	1.000000000000000	0.973670145118220	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	3	4	5	4	2	6	5	1	1	1	1	1	1	1	1	1	1	1	1
34000	-108.981762868871314	-111.078860589047196	2.097097720175876	0.110440721828567	0.110440721828567	1.000000000000000	0.977426745776261	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16137	16102	0	1	1	1	1	5	4	6	1	3	1	1	1	1	1	1	1	1	1	1	1	1
34500	-113.287942637017068	-115.306187557447970	2.018244920430897	0.204727867584408	0.204727867584408	1.000000000000000	0.968900502940776	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	2	2	4	1	6	11	1	3	2	1	1	1	1	1	1	1	1	1	1	1
35000	-109.734718402751156	-112.016837815707632	2.282119412956478	0.232328773611562	0.232328773611562	1.000000000000000	0.997728619049907	0.000000000000000	16083	16086	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	3	5	4	1	5	8	2	1	1	1	1	1	1	1	1	1	1	1
35500	-112.142133956982335	-114.346798238145610	2.204664281163275	0.219417041792684	0.219417041792684	1.000000000000000	0.989178883903020	0.000000000000000	16083	16089	16105	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	1	4	3	4	2	1	1	1	1	1	1	1	1	1	1	1	1
36000	-108.648109439360795	-110.680181974875509	2.032072535514714	0.161332600236900	0.161332600236900	1.000000000000000	0.970390267442638	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	1	1	3	1	6	4	9	1	1	1	1	1	1	1	1	1	1	1	1
36500	-108.456813568839607	-110.400482653155677	1.943669084316077	0.231203304165971	0.231203304165971	1.000000000000000	0.960905166945329	0.000000000000000	16083	16089	16107	16112	16117	16124	16132	16135	16133	16139	16102	0	1	1	2	1	5	1	5	5	5	1	1	1	1	1	1	1	1	1	1	1	1
